Проект,Категории,Цена,Заявки
"Анализ ошибок сайта в Google Search Console, оптимизация CSS",Веб-программирование,Нет цены,1 заявка
Ищем переводчика с русского на португальский,Рерайтинг,$2,нет заявок
Сайт  dr.konnikov  поменять  фотообложку сайта и поменять стиль сайта,Дизайн сайтов,$100,8 заявок
Верстка нескольких страниц проекта,HTML-верстка,Нет цены,20 заявок
Создание сайта,Сайты «под ключ»,Нет цены,8 заявок
Адаптивная верстка веб-странички,HTML-верстка,Нет цены,25 заявок
Нужно сделать калькулятор,Веб-программирование,Нет цены,6 заявок
Ищу  опытного верстальщика,HTML-верстка,Нет цены,7 заявок
Доработка сайта,Веб-программирование,Нет цены,нет заявок
Переработать макет psd,Дизайн сайтов,Нет цены,13 заявок
Интернет-магазин на фейсбуке,Интернет-магазины,Нет цены,нет заявок
Дизайн сайта + редизайн сайта,Дизайн сайтов,Нет цены,13 заявок
Импорт товаров из прайсов в xls на сайт на битриксе,Веб-программирование,Нет цены,4 заявки
Выполнить доработки на ВП - чисто верстка,HTML-верстка,$15,2 заявки
Парсинг сайта,Веб-программирование,$10,5 заявок
Сайт - панель управления,Сайты «под ключ»,$300,2 заявки
Работа для спеца по Symfony,Веб-программирование,Нет цены,нет заявок
Копирайт,Копирайтинг,Нет цены,1 заявка
Парсер сайтов,Веб-программирование,$550,2 заявки
Opencart,Веб-программирование,Нет цены,2 заявки
Статьи на тему seo-анализа сайта,Поисковые системы (SEO),$30,1 заявка
Копирайтер (строительная компания),Копирайтинг,Нет цены,6 заявок
Каталог компаний,Веб-программирование,Нет цены,5 заявок
Нужна анимация со звуком и логотипом к проморолику на 3-6 секунд,Анимация,$5,4 заявки
Интеграция edostavka и интернет-магазина на wordpress,Веб-программирование,Нет цены,1 заявка
Статья схема посадки яблонь.,Копирайтинг,Нет цены,3 заявки
"SEO оптимизатор, умеющий оптимизировать англоязычные тексты",Поисковые системы (SEO),Нет цены,1 заявка
Доработка сайта на CMS Joomla,Системы управления (CMS),Нет цены,нет заявок
Перевести psd в html,Иллюстрации и Рисунки,Нет цены,2 заявки
Смонтировать видеоролик,Видеомонтаж,$7,11 заявок
Спарсить товары интернет магазина и рапарсить несколько полей,Веб-программирование,$7,4 заявки
Доделать сайт (html+css),Веб-программирование,Нет цены,3 заявки
Дизайн-проект двухкомнатной квартиры,Интерьеры и Экстерьеры,Нет цены,12 заявок
Требуется придумать и нарисовать 10 изображений,Иллюстрации и Рисунки,Нет цены,5 заявок
Программа обработки однотипных документов в пакетном режиме,Прикладное ПО,Нет цены,1 заявка
Выровнить сетку товаров,Веб-программирование,Нет цены,4 заявки
Необходимо сделать SVG файл в иллюстраторе поверх макета зданий,Иллюстрации и Рисунки,Нет цены,1 заявка
Проeкт мобильного приложения в Unity,ПО для мобильных устройств,Нет цены,нет заявок
Чaт бот на java,Веб-программирование,Нет цены,нет заявок
"Пoдмeнa знaчений на сайте, выдaвaeмыx javascript",Веб-программирование,Нет цены,нет заявок
Мобильнoe пpилoжение а-ля tinder,ПО для мобильных устройств,Нет цены,1 заявка
Реaлизoвaть PHP Class Private API Instagram чeрез Android,Веб-программирование,Нет цены,нет заявок
Напиcать скpипт paботающий с Amazon Mechanical Turk API,Веб-программирование,Нет цены,нет заявок
Скачать вcе кoмментаpии к посту Инстaграм,Прикладное ПО,Нет цены,1 заявка
Необходимо доработать сайт на worpress,Веб-программирование,Нет цены,1 заявка
Публикация постов на АНГЛИЙСКОМ на тематических ресурсах,Социальные сети (SMM и SMO),$60,нет заявок
"Hужен бoт пoд cepвиc нaкрутки, рабoтa черeз инсту",Веб-программирование,Нет цены,нет заявок
Haпиcaть шаблон нa zennoposter,Веб-программирование,Нет цены,нет заявок
PHP Сделать простой синонимайзер,Веб-программирование,$11,1 заявка
Нужен дизайн лендинга по продаже боксерских мешков,Дизайн сайтов,Нет цены,25 заявок
Редактирование фото для сайта,Обработка фотографий,Нет цены,27 заявок
Нужны отзывы на Google картах.,Копирайтинг,Нет цены,19 заявок
Нужны отзывы на Яндекс Маркете.,Наполнение сайтов,Нет цены,110 заявок
Выполнить детализацию,Иллюстрации и Рисунки,Нет цены,нет заявок
Требуется сверстать лендинг.,HTML-верстка,$40,26 заявок
Сделать краткое описание нескольких объектов.,Копирайтинг,$15,7 заявок
Создать расширение для Chrome,Прикладное ПО,Нет цены,нет заявок
Доделать лэндинг HTML,Веб-программирование,Нет цены,10 заявок
Простое Android-приложение на базе консольного C#,ПО для мобильных устройств,Нет цены,3 заявки
Сделать белый фон на фотографиях (8шт.),Обработка фотографий,$5,8 заявок
Нужен адаптивный лендинг на сайт-одностраничник,Дизайн сайтов,Нет цены,27 заявок
"Пакет баннеров для Google AdWords (gif,   PNG)  ЯНДЕКС ДИРЕКТ",Баннеры,Нет цены,9 заявок
Переработать модуль для Opencart,Веб-программирование,Нет цены,нет заявок
Поменять цвет волос,Обработка фотографий,Нет цены,9 заявок
Внутренние страницы для сайта,Дизайн сайтов,Нет цены,12 заявок
«Прокачка» аккаунтов на форумах,Наполнение сайтов,Нет цены,5 заявок
Заполнение сайта контентом (около 30 страниц),Наполнение сайтов,$150,2 заявки
Копирайтинг для ногтей,Копирайтинг,$5,нет заявок
Рерайт статьи на тему строительного инструмента,Рерайтинг,Нет цены,4 заявки
"Оптимизировать работу, создать дочернюю тему, обновление wordpress т.д",Веб-программирование,Нет цены,1 заявка
Вставить 3д модель формата obj на сайт с помощью WebGl,Веб-программирование,Нет цены,1 заявка
Помощь в установке скачанного шаблона на wordpress,Веб-программирование,Нет цены,4 заявки
Доработка сайта,Интернет-магазины,Нет цены,5 заявок
Создать 3d интерьер квартир - вид сверху,Интерьеры и Экстерьеры,Нет цены,10 заявок
Определить причину исходящего трафика с сайтов на DLE и Joomla,Поисковые системы (SEO),$50,нет заявок
Магазин на virtuemart,Интернет-магазины,Нет цены,3 заявки
Необходимо сверстать Сертификат,Верстка полиграфии,Нет цены,6 заявок
Нужна анимация (около 5 сек) с логотипом к промо-ролику,Анимация,Нет цены,5 заявок
Написать ТЗ,Копирайтинг,Нет цены,1 заявка
"Нарисовать ""спиннеры"" для игрового сайта",Иллюстрации и Рисунки,Нет цены,4 заявки
Нужен перевод английского на русский,Переводы,$40,25 заявок
Установить панель котировок,Веб-программирование,Нет цены,4 заявки
Opencart - Региональные магазина на поддоменах,Интернет-магазины,Нет цены,1 заявка
Дизайн каталога,Дизайн продукции,Нет цены,10 заявок
Заказ №849224,Обработка фотографий,Нет цены,8 заявок
Небольшие доработки на сайте,Веб-программирование,Нет цены,8 заявок
Копирайтер с креативом,Копирайтинг,$10,3 заявки
Сайт. Медицинский,Дизайн сайтов,$300,24 заявки
Дизайн баннера,Наружная реклама,Нет цены,1 заявка
Обновить парсер под новый Opencart,Веб-программирование,Нет цены,2 заявки
Почистить сайт (Joomla),Веб-программирование,Нет цены,8 заявок
HTML/CSS верстка на Insales (liquid шаблоны),HTML-верстка,Нет цены,2 заявки
Доработка l2tp сервера для возможности работы с IP6 адресами,Системное администрирование,Нет цены,нет заявок
Мобильное приложение на Андроид,ПО для мобильных устройств,$250,2 заявки
Приложение под IOS,ПО для мобильных устройств,Нет цены,3 заявки
На сайт диванов необходимо заполнить ткани.,Наполнение сайтов,$30,19 заявок
Рерайтинг с источника,Рерайтинг,Нет цены,5 заявок
Адаптивная верстка лендинга + мобильная версия,HTML-верстка,$350,6 заявок
Требуется андроид программист для службы знакомств,ПО для мобильных устройств,Нет цены,нет заявок
Придумать название домена,Нейминг и Слоганы,Нет цены,16 заявок
Необходим рерайт,Рерайтинг,Нет цены,6 заявок
Создание логотипа,Логотипы и Знаки,Нет цены,25 заявок
Доработка магазина,Дизайн мобильных приложений,$40,6 заявок
Дизайн для сайта,Дизайн сайтов,$30,23 заявки
"Дизайн главной страницы сайта ""Консалтинг""",Дизайн сайтов,$150,нет заявок
Доработка проекта на Modx Revo,Веб-программирование,$80,2 заявки
Генерация случайного контента PHP,Веб-программирование,Нет цены,4 заявки
Вывод количества загрузок файлов в Joomla на страницу,Системы управления (CMS),Нет цены,2 заявки
Подключение API курьерской службы с CRM,Веб-программирование,Нет цены,2 заявки
Нужен SEO-специалист для сайта агентства  знакомств.,Поисковые системы (SEO),Нет цены,3 заявки
Сделать простые фотографии,Фотосъемка,$5,2 заявки
Нужно сверстать лендинг,HTML-верстка,$25,20 заявок
Сделать 5 3-D фотографий товара для онлайн магазина,3D-графика,Нет цены,7 заявок
Создание логотипа для Интернет-магазина и строительной компании,Логотипы и Знаки,$30,4 заявки
Продвижение и поддержка действующего интернет-магазина.,Поисковые системы (SEO),Нет цены,12 заявок
Копия лендинга с доработкой,Веб-программирование,Нет цены,10 заявок
Навести марафет на сайте (Битрикс): красиво оформить свойства и информ,Системы управления (CMS),Нет цены,1 заявка
Монтаж видео ролика,Видеомонтаж,Нет цены,15 заявок
Создание сайта под ключ!,Сайты «под ключ»,Нет цены,26 заявок
Технические доработки сайта на Joomla 3,Веб-программирование,Нет цены,5 заявок
Правка верстки сайта,HTML-верстка,Нет цены,4 заявки
Постинг 1000 видео с составлением названий на английском языке,Нейминг и Слоганы,$1500,17 заявок
Помощь программиста,Веб-программирование,Нет цены,2 заявки
Изменить логотип сайта,Дизайн сайтов,$5,11 заявок
Обновить версию php на сервере,Системное администрирование,Нет цены,10 заявок
Создание сайта по аналогу.,Веб-программирование,Нет цены,5 заявок
Поправить формы обратной связи на сайте,Веб-программирование,$5,2 заявки
Необходимо добавить несколько страниц на сайт (opencart),Интернет-магазины,Нет цены,4 заявки
Нужен контент менеджер,Наполнение сайтов,Нет цены,243 заявки
"Если в 2-х словах, то нужен редизайн localvet.ru. На основе этого диза",Дизайн сайтов,Нет цены,11 заявок
Загрузить инфо (БД телефонов) в админку (скрипт),Веб-программирование,$2,12 заявок
Разpaбoтaть пpoeкт (ecommerce + social networks),Веб-программирование,Нет цены,2 заявки
Cоздaть чат бoт,Веб-программирование,Нет цены,5 заявок
Доделать интернет-магазин на Wordpress,Интернет-магазины,$40,2 заявки
Мобильное-Приложение - Учет риса.,ПО для мобильных устройств,$2500,6 заявок
HTML 5 Video Player,Веб-программирование,$30,1 заявка
Учет заявок,Веб-программирование,Нет цены,2 заявки
Парсинг криптобиржи с сервера,Веб-программирование,Нет цены,4 заявки
Разработать  макросы для Exel документа,Прикладное ПО,$20,3 заявки
Редактирование изображений,Иллюстрации и Рисунки,Нет цены,26 заявок
Обработка фото,Обработка фотографий,Нет цены,25 заявок
Создание буклета по продукту,Дизайн продукции,Нет цены,13 заявок
Сделать в электронном виде лист как в дипломе,Редактирование и Корректура,Нет цены,9 заявок
Написать скрипт для синхронизации цен в магазинах,Веб-программирование,Нет цены,1 заявка
Русско-казахский перевод,Переводы,Нет цены,13 заявок
"Подмена значений на сайте, выдаваемых javascript",Веб-программирование,Нет цены,нет заявок
Наполнить базу данных 1 000 записей,Наполнение сайтов,Нет цены,7 заявок
Фото продукта для сайта eCommerce,Фотосъемка,Нет цены,нет заявок
Написание статей для сайта.,Копирайтинг,Нет цены,6 заявок
Калькулятор  на сайт,Веб-программирование,Нет цены,2 заявки
Создание сайта (проекта) с нуля,Сайты «под ключ»,$200,4 заявки
"Ищем авторов, медицинская тематика",Копирайтинг,$400,2 заявки
"Скопировать сайт, его функционал и структуру",Веб-программирование,$1500,5 заявок
Срочно нужен вебмастер исправить ошибку на сайте,Системы управления (CMS),Нет цены,6 заявок
Поправить плагин WP на сайте,Веб-программирование,Нет цены,3 заявки
Баннер динамический.,Баннеры,Нет цены,9 заявок
"Написать главную страницу для html+php+css3 сайта, без cms",Сайты «под ключ»,Нет цены,19 заявок
Нужно извлечь категории и все суб категории что принадлежат к сайту,Веб-программирование,Нет цены,2 заявки
Вк групп гугл,Социальные сети (SMM и SMO),$100,4 заявки
Cкpипт Гeoтaргетингa для сaйтa,Веб-программирование,Нет цены,5 заявок
Адаптировать веб-сайт,Веб-программирование,Нет цены,9 заявок
Сделать верстку 3 отзывов на странице,HTML-верстка,$4,34 заявки
Требуется создать сайт в конструкторе,Сайты «под ключ»,Нет цены,11 заявок
Создать  приложение для вк,Веб-программирование,Нет цены,2 заявки
Нужно заполнить 100 карточек товара,Наполнение сайтов,$100,38 заявок
Cоздание лeндингa,Веб-программирование,Нет цены,8 заявок
Создать прототип и дизайн главной и внутренней страниц сайта.,Дизайн сайтов,$60,8 заявок
Переверстать блок HTML на сайте + JS,HTML-верстка,$5,5 заявок
Красиво оформить pdf документ (исходники текста и картинок в наличии).,Иллюстрации и Рисунки,Нет цены,7 заявок
"Нужно почистить звук, убрать шумы.",Аудиомонтаж,Нет цены,9 заявок
Написать статьи по игре CS 1.6,Копирайтинг,Нет цены,9 заявок
Дизайн визитки,Дизайн продукции,$15,29 заявок
Создать форму отправки сообщений с сайта на email,Веб-программирование,Нет цены,1 заявка
Скопировать отзыв в группу Вконтакте и написать комментарий,Копирайтинг,$1,25 заявок
Парсинг выдачи Google и расчет внутри программы,Прикладное ПО,Нет цены,4 заявки
Настроить импорт товаров в Wordpress,Системы управления (CMS),Нет цены,нет заявок
50 новостей по тематие ВКонтакте,Рерайтинг,$25,4 заявки
Копирайтинг для проекта по инфобизнесу.,Копирайтинг,Нет цены,4 заявки
Парсер коэффициентов букмекерских контор,Веб-программирование,Нет цены,5 заявок
"Интернет-Магазин ""онлайн игр""",Интернет-магазины,Нет цены,1 заявка
"Контекстная реклама ( рся, кмс, ремаркетинг яндекс и гугл и поиск )",Контекстная реклама,Нет цены,6 заявок
"Дизайн,вёрстка",Дизайн сайтов,Нет цены,17 заявок
Создание мобильного приложения,ПО для мобильных устройств,Нет цены,6 заявок
Необходимо нарисовать дизайн лендинга,Дизайн сайтов,$49,14 заявок
Доработка сайта на WordPress,Системы управления (CMS),Нет цены,15 заявок
Доработка сайта joomla,Веб-программирование,Нет цены,нет заявок
Mакрoс для бpaузepа,Веб-программирование,Нет цены,нет заявок
Евробуклет для ресторана,Верстка полиграфии,Нет цены,15 заявок
"Статья на тему ""Левомеколь при геморрое""",Копирайтинг,Нет цены,1 заявка
Доработка интерактивной карты,Веб-программирование,Нет цены,2 заявки
Создать сайт визитку и продвинуть его,Веб-программирование,Нет цены,13 заявок
Интернет-магазин Аренды костюмов на Prestashop,Системы управления (CMS),Нет цены,1 заявка
В работающий на Друпале сайт внести изменения,Веб-программирование,Нет цены,1 заявка
Статьи для сайта по ремонту бытовой техники,Копирайтинг,$170,3 заявки
"Peшeние, для распpедeления закaзов пo курьeрам, по мapшрутaм",Веб-программирование,Нет цены,4 заявки
Прогpaмма автoмaтизации paбoты с документами,Веб-программирование,Нет цены,7 заявок
Специалист по WordPress,Системы управления (CMS),Нет цены,12 заявок
Вёрстка сайта с адаптацией для мобильных платформ,HTML-верстка,Нет цены,37 заявок
Подключить расширенная электронну торговлю,Веб-программирование,Нет цены,1 заявка
Cпаpсить объявления с авитo,Веб-программирование,Нет цены,5 заявок
Haписaть чaт бoта для pасcылки coобщeний чеpeз аккaунты вк,Веб-программирование,Нет цены,1 заявка
Пaрсер для авитo,Веб-программирование,Нет цены,1 заявка
Настроить админку и добавить около 30 текстов на сайт,Системное администрирование,Нет цены,1 заявка
Пpогрaммa для паpcингa Taobao,Прикладное ПО,Нет цены,3 заявки
"Вёрстка корпоративного сайта, не адаптив, по БЭМу",HTML-верстка,Нет цены,3 заявки
Требуется юрист,Юридические услуги,Нет цены,11 заявок
Дизайн внутренних страниц,Дизайн сайтов,Нет цены,23 заявки
Wordpress - доработка проекта - срочно,Веб-программирование,$40,2 заявки
Создание приложения под ios и android.,Веб-программирование,Нет цены,3 заявки
Необходимо разработать баннер,Баннеры,Нет цены,7 заявок
Специалист по настройках Adwords,Поисковые системы (SEO),Нет цены,9 заявок
Копирайтер на тему кондиционеров,Копирайтинг,Нет цены,14 заявок
Скрипт по автоматическому добавлению заведения рядом,Веб-программирование,Нет цены,нет заявок
Запустить проект,Дизайн сайтов,Нет цены,6 заявок
Смодэлировать - скопировать сайт(сначала посмотрите его) co43.com,Веб-программирование,Нет цены,6 заявок
Смодэлировать - скопировать сайт(сначала посмотрите его) co43.com,Веб-программирование,Нет цены,6 заявок
Нужен копирайтер для написания рерайта,Копирайтинг,Нет цены,12 заявок
Нужен копирайтер,Копирайтинг,Нет цены,11 заявок
Поправить текста на ЛП,Копирайтинг,Нет цены,6 заявок
Росгубскат.,Дизайн продукции,Нет цены,1 заявка
Аудиоплеер,ПО для мобильных устройств,Нет цены,7 заявок
Личный кабинет для анонимного сервиса.,Веб-программирование,$23,1 заявка
Оптимизировать код сайта,Веб-программирование,Нет цены,4 заявки
Разработка простого PSD макета с иконками,Верстка полиграфии,Нет цены,5 заявок
Доработки для сайта компании,Веб-программирование,Нет цены,5 заявок
Обработка видео,Видеомонтаж,Нет цены,20 заявок
Собрать аккаунты губернаторов,Наполнение сайтов,$8,7 заявок
Coфт пoд ключ,Веб-программирование,Нет цены,10 заявок
Копирайтер на сайт оружейной  тематики,Копирайтинг,Нет цены,7 заявок
Копирайт на Американский,Переводы,Нет цены,6 заявок
"Перевод сайта на китайский, арабский, хинди",Переводы,Нет цены,9 заявок
"Перевод на испанский, французский, португальский",Переводы,Нет цены,11 заявок
WP woocommerce,Веб-программирование,$100,3 заявки
Подключить прием оплаты на сайте,Веб-программирование,Нет цены,8 заявок
JS ожидания генерации отчета,HTML-верстка,$4,8 заявок
Сделать шаблон  на WordPress,Системы управления (CMS),Нет цены,3 заявки
Профессионал по Joomla,Системы управления (CMS),Нет цены,5 заявок
Разработать дизайн-шаблоны базовых документов,Дизайн продукции,Нет цены,8 заявок
Верста сайта из PSD  в HTML (сайт+админка),HTML-верстка,Нет цены,11 заявок
Необходимо написать тайтл + дескрипшен,Поисковые системы (SEO),Нет цены,3 заявки
Написать тексты E-mail уведомлений,Копирайтинг,Нет цены,3 заявки
Нужно переделать разделы с поддоменов на домены,Веб-программирование,Нет цены,2 заявки
Модуль вывода товара для Opencart 2.1.0.2,Веб-программирование,Нет цены,1 заявка
Ищу расширенный чек лист Деригиной,Уроки и Репетиторство,Нет цены,нет заявок
Необходимо создать интернет-площадку,Веб-программирование,Нет цены,4 заявки
Ищу сертифицированного переводчика с русского на английский язык. 55 с,Копирайтинг,Нет цены,3 заявки
Сделать приложение на Андроид и Ios,ПО для мобильных устройств,Нет цены,8 заявок
Написание статей для сайта посвященному энергетике,Копирайтинг,Нет цены,7 заявок
Shop цифровых товаров,Сайты «под ключ»,Нет цены,10 заявок
Написать две статьи,Копирайтинг,$6,3 заявки
Мониторинг обменных пунктов,Веб-программирование,Нет цены,5 заявок
Парсер wordstat на PHP,Веб-программирование,Нет цены,2 заявки
Зарегистрироваться и пройти модерацию,Управление проектами,Нет цены,5 заявок
Адаптивная верстка сайта с нуля из PSD макета и натяжка на Wordpress,HTML-верстка,$60,14 заявок
Установить сертификат SSL на сайт,Веб-программирование,Нет цены,5 заявок
Озвучка видеоролика. Приложение для юристов,Озвучивание,Нет цены,11 заявок
Верстка страницы категории Joomla+virtuemart с функц. изменениями(PHP),HTML-верстка,Нет цены,1 заявка
Нужен текст - легенда,Копирайтинг,Нет цены,3 заявки
Написать 5 статей по кредитной тематике,Копирайтинг,Нет цены,3 заявки
Настройка контекстной рекламы,Контекстная реклама,Нет цены,20 заявок
Почистить сайт от вирусов,Веб-программирование,Нет цены,8 заявок
Нужен программист со знанием CS-Cart,Веб-программирование,Нет цены,1 заявка
Нарисовать 10 баннеров 1080x1080px (недвижимость),Баннеры,$8,14 заявок
Изменить дизайн лендинга,Дизайн сайтов,Нет цены,22 заявки
Адаптивная верстка,HTML-верстка,Нет цены,28 заявок
Собрать базу 2gis,Базы данных,Нет цены,2 заявки
Перевод текстов (англ.-рус.),Переводы,$15,20 заявок
Сделать лэндинг для подажи аудиокниги,Дизайн сайтов,Нет цены,23 заявки
Разработка мобильного приложения,ПО для мобильных устройств,Нет цены,3 заявки
Контент на сайт по лакокрасочным материалам,Копирайтинг,Нет цены,4 заявки
Нужно выполнить правки на битрикс,Веб-программирование,Нет цены,2 заявки
Работа с CallbackHunter,Веб-программирование,Нет цены,нет заявок
Наполнение на Вордпресс +  составление неуникального описания,Наполнение сайтов,$15,10 заявок
Интернет магазин,Интернет-магазины,Нет цены,11 заявок
Скопировать сайт,Веб-программирование,Нет цены,21 заявка
Необходимо расширить семантику в приоритете коммерческих страниц.,Поисковые системы (SEO),Нет цены,10 заявок
Доработка сайта на WordPress,Веб-программирование,Нет цены,4 заявки
Установка регистрации пульсовой волны,Веб-программирование,Нет цены,нет заявок
"Настройка и запуск контекстной рекламы яндекс,гугл.",Контекстная реклама,Нет цены,14 заявок
"Нужен лендинг на 1-2 экрана, можно на конструкторе",Дизайн сайтов,Нет цены,28 заявок
Отправка сообщения facebook,Веб-программирование,Нет цены,4 заявки
Пересохранение 6 файлов иллюстратор cc 2017 в тифы,Иллюстрации и Рисунки,Нет цены,9 заявок
Настройка рекламы в Яндексе,Контекстная реклама,Нет цены,19 заявок
Сверстать и натянуть на битрикс сайт,HTML-верстка,Нет цены,4 заявки
Перенос сайта с оновного домена на субдомен,Системное администрирование,$8,4 заявки
Подключение Яндекс Маркета к сайту созданном на wix,Веб-программирование,Нет цены,1 заявка
Срочно сверстать лендинг,HTML-верстка,$50,33 заявки
Верстка сайта - web сервиса,HTML-верстка,Нет цены,9 заявок
Задание для химика-фармацевта-аналитика,"Контрольные, Задачи и Тесты",$240,4 заявки
Проведение работ по seo оптимизации,Поисковые системы (SEO),Нет цены,14 заявок
18 статей для сайта дизайнера свадебных и вечерних платьев,Копирайтинг,Нет цены,15 заявок
Редакция листовки tif,Дизайн продукции,$10,3 заявки
Сделать обзвон 20 предприятий России по списку,Управление проектами,Нет цены,2 заявки
Дизайн баннера,Баннеры,Нет цены,27 заявок
"Drupal. Качественно исправить баги,оптимизировать,настроить живой сайт",Веб-программирование,$50,1 заявка
Личный помощник на удаленую работу,Управление проектами,Нет цены,2 заявки
Верстка  сайта под СМС MODx,HTML-верстка,Нет цены,26 заявок
Сделать презентацию по ТЗ,Дизайн сайтов,$66,15 заявок
Несколько задач по админке на react.js,Системное администрирование,Нет цены,1 заявка
Программист на внедрение ТЗ на SEO-оптимизацию сайта,Веб-программирование,$240,3 заявки
Требуется Frontend специалист – верстальщик. Laravel,HTML-верстка,Нет цены,2 заявки
Настроить 1С УТ 11.3.,1С-программирование,Нет цены,нет заявок
Настроить 1С УТ 11.3.,1С-программирование,Нет цены,нет заявок
Натянуть верстку на движок сайта (заменить старую верстку на новую),HTML-верстка,Нет цены,4 заявки
